id,relevance
1,2.38
4,2.39
5,2.36
6,2.37
7,2.39
8,2.37
10,2.39
11,2.39
12,2.37
13,2.38
14,2.39
15,2.38
19,2.38
22,2.38
24,2.37
25,2.38
26,2.36
28,2.41
29,2.39
30,2.38
31,2.41
32,2.37
33,2.38
36,2.36
39,2.38
40,2.36
41,2.36
42,2.38
43,2.36
44,2.36
45,2.36
46,2.37
47,2.39
49,2.38
50,2.36
52,2.42
53,2.39
54,2.41
55,2.39
56,2.39
57,2.38
58,2.38
59,2.37
60,2.39
61,2.38
62,2.37
63,2.40
64,2.42
66,2.38
67,2.38
68,2.39
70,2.36
71,2.36
72,2.31
73,2.37
74,2.38
76,2.36
77,2.37
78,2.36
79,2.31
80,2.31
82,2.36
83,2.38
84,2.39
86,2.37
87,2.36
89,2.40
91,2.36
93,2.36
94,2.38
95,2.38
96,2.37
97,2.38
98,2.41
99,2.38
100,2.40
102,2.38
103,2.36
104,2.31
107,2.37
108,2.39
109,2.37
110,2.39
111,2.38
112,2.40
115,2.38
116,2.31
118,2.37
119,2.40
121,2.38
124,2.36
126,2.36
128,2.38
129,2.36
130,2.36
131,2.36
132,2.38
133,2.36
134,2.36
135,2.36
137,2.41
139,2.36
140,2.41
141,2.38
142,2.38
144,2.31
145,2.38
146,2.38
148,2.31
151,2.38
152,2.36
153,2.38
154,2.38
155,2.36
156,2.38
159,2.36
160,2.38
161,2.42
163,2.36
167,2.38
168,2.36
169,2.38
170,2.36
171,2.36
173,2.38
174,2.42
175,2.39
176,2.37
180,2.40
183,2.42
184,2.38
185,2.37
187,2.38
188,2.36
189,2.31
190,2.38
192,2.40
194,2.38
196,2.38
197,2.36
198,2.36
199,2.38
200,2.40
204,2.39
206,2.39
207,2.38
208,2.38
209,2.38
211,2.38
212,2.38
213,2.38
216,2.38
217,2.38
218,2.39
219,2.38
220,2.37
221,2.36
222,2.39
224,2.31
225,2.36
228,2.36
229,2.36
230,2.38
231,2.38
232,2.38
234,2.36
235,2.36
236,2.40
237,2.40
238,2.42
239,2.42
240,2.41
242,2.38
243,2.39
244,2.38
246,2.41
247,2.40
248,2.39
249,2.36
250,2.36
251,2.38
252,2.36
253,2.38
254,2.38
256,2.36
258,2.36
260,2.38
262,2.41
263,2.38
264,2.38
265,2.38
267,2.42
268,2.38
269,2.38
271,2.40
273,2.37
274,2.38
277,2.38
278,2.40
279,2.36
280,2.39
281,2.37
282,2.39
283,2.36
285,2.38
286,2.36
287,2.36
288,2.39
289,2.38
291,2.36
292,2.38
295,2.39
296,2.38
298,2.38
299,2.39
300,2.38
301,2.38
302,2.36
303,2.39
304,2.31
306,2.39
307,2.38
308,2.42
309,2.36
310,2.36
311,2.38
312,2.36
313,2.38
315,2.39
316,2.38
317,2.38
320,2.37
321,2.37
322,2.36
324,2.39
325,2.38
326,2.38
328,2.39
329,2.42
330,2.39
332,2.36
333,2.38
336,2.36
337,2.31
338,2.38
339,2.38
342,2.38
344,2.38
345,2.39
348,2.36
349,2.39
352,2.38
353,2.38
356,2.37
357,2.38
358,2.38
360,2.36
362,2.31
364,2.31
366,2.38
367,2.42
368,2.36
369,2.37
370,2.36
371,2.38
372,2.39
376,2.37
377,2.38
378,2.38
379,2.37
380,2.38
381,2.37
382,2.36
383,2.39
384,2.38
386,2.38
387,2.38
388,2.36
390,2.38
391,2.41
392,2.38
393,2.38
394,2.31
395,2.42
396,2.38
398,2.41
399,2.39
404,2.42
405,2.37
406,2.40
409,2.41
410,2.38
412,2.38
414,2.41
415,2.31
416,2.38
417,2.36
419,2.40
420,2.37
423,2.39
424,2.37
425,2.38
426,2.38
427,2.36
428,2.40
429,2.41
430,2.36
431,2.42
432,2.41
433,2.40
434,2.41
435,2.41
436,2.40
437,2.39
438,2.41
439,2.40
441,2.38
442,2.41
443,2.41
448,2.41
449,2.38
450,2.37
451,2.38
453,2.38
457,2.39
460,2.36
462,2.36
463,2.31
464,2.38
465,2.38
466,2.39
467,2.38
471,2.38
472,2.36
474,2.36
477,2.36
482,2.38
483,2.38
484,2.36
486,2.38
487,2.31
488,2.36
489,2.42
490,2.36
493,2.39
494,2.41
495,2.39
496,2.42
498,2.37
499,2.38
502,2.41
503,2.39
504,2.38
505,2.41
506,2.38
507,2.36
509,2.39
510,2.39
512,2.38
513,2.38
514,2.38
515,2.38
518,2.38
519,2.40
520,2.42
521,2.37
522,2.37
523,2.38
525,2.37
526,2.37
527,2.37
528,2.36
529,2.37
530,2.37
531,2.38
532,2.36
534,2.38
535,2.39
537,2.41
538,2.40
539,2.42
540,2.42
541,2.38
543,2.42
545,2.40
546,2.39
547,2.38
548,2.36
550,2.39
552,2.40
553,2.42
554,2.38
555,2.39
556,2.42
558,2.38
560,2.39
561,2.37
564,2.42
565,2.36
566,2.36
567,2.38
569,2.31
570,2.38
574,2.40
575,2.36
577,2.38
578,2.42
579,2.38
580,2.39
586,2.31
587,2.38
588,2.36
589,2.37
590,2.39
592,2.38
594,2.36
596,2.38
597,2.38
598,2.38
599,2.38
601,2.38
602,2.38
603,2.38
604,2.42
607,2.36
608,2.38
609,2.36
610,2.38
612,2.37
613,2.39
614,2.41
615,2.38
616,2.39
617,2.38
618,2.37
620,2.41
621,2.36
622,2.37
623,2.36
624,2.39
625,2.36
627,2.38
628,2.36
629,2.39
631,2.39
632,2.37
633,2.38
638,2.36
639,2.36
641,2.38
645,2.37
647,2.38
648,2.40
649,2.38
650,2.38
651,2.42
654,2.39
655,2.42
656,2.31
657,2.38
658,2.40
664,2.39
665,2.38
667,2.38
672,2.38
673,2.41
675,2.38
676,2.38
678,2.38
681,2.42
683,2.38
684,2.39
685,2.38
689,2.37
692,2.38
693,2.39
694,2.36
695,2.38
697,2.39
698,2.31
699,2.37
701,2.36
702,2.38
703,2.39
704,2.37
705,2.37
706,2.40
707,2.38
708,2.38
709,2.37
710,2.36
711,2.39
714,2.39
716,2.39
717,2.39
719,2.38
720,2.37
721,2.38
723,2.36
724,2.36
725,2.40
727,2.41
728,2.41
